participant,daysBetween,condition,stimuliType,stimSet,meanValenceRating,meanArousalRating,meanValenceRT,meanArousalRT,meanZValenceRating,meanZArousalRating,Ntrial,KVIQ_Visual_Score,KVIQ_Kinesthetic_Score,GoldMSI_ActiveEngagement_63,GoldMSI_PerceptualAbilities_63,GoldMSI_MusicalTraining_49,GoldMSI_Emotions_42,GoldMSI_SingingAbilities_49,GoldMSI_GeneralMusicalSophistication_126
P04,26,Active,High Valence - High Arousal,Set2,8,8.125,4.346846512,2.051324,0.878653069,0.943987775,8,18,11,46,41,10,35,28,65
P04,26,Active,High Valence - Low Arousal,Set2,6.875,4.625,5.880471262,2.4023463,0.426774348,-0.51096586,8,18,11,46,41,10,35,28,65
P04,26,Active,Low Valence - High Arousal,Set2,3.375,7.375,2.701453587,2.078784637,-0.979070563,0.632211996,8,18,11,46,41,10,35,28,65
P04,26,Active,Low Valence - Low Arousal,Set2,4.25,4.375,3.7010923,2.41663335,-0.627609335,-0.61489112,8,18,11,46,41,10,35,28,65
P04,26,Sham,High Valence - High Arousal,Set2,7.666666667,7.666666667,1.81410485,2.56498405,0.744763078,0.753458132,6,18,11,46,41,10,35,28,65
P04,26,Sham,High Valence - Low Arousal,Set2,5.5,3.5,3.43030595,4.1251742,-0.125521867,-0.978629528,2,18,11,46,41,10,35,28,65
P04,26,Sham,Low Valence - High Arousal,Set2,5,7,2.4774991,2.4349272,-0.326356854,0.476324107,1,18,11,46,41,10,35,28,65
P04,26,Sham,Low Valence - Low Arousal,Set2,5.285714286,3.571428571,3.1226057,2.9443419,-0.211594004,-0.948936597,7,18,11,46,41,10,35,28,65
P10,32,Active,High Valence - High Arousal,Set1,7.25,7.875,2.447233288,1.021956275,1.213340165,0.955181509,8,24,20,41,39,7,35,24,55
P10,32,Active,High Valence - Low Arousal,Set1,4.125,2.375,2.298572062,1.371317025,-0.006097187,-1.034308971,8,24,20,41,39,7,35,24,55
P10,32,Active,Low Valence - High Arousal,Set1,1.875,7.5,2.082033488,1.2477797,-0.88409208,0.81953443,8,24,20,41,39,7,35,24,55
P10,32,Active,Low Valence - Low Arousal,Set1,2.375,4.125,1.67566365,0.893449338,-0.688982104,-0.401289273,8,24,20,41,39,7,35,24,55
P10,32,Sham,High Valence - High Arousal,Set1,7.5,6.875,1.414114575,3.315918137,1.310895154,0.593455967,8,24,20,41,39,7,35,24,55
